,voro_label,clps_label
0,1,31
1,3,14
2,4,28
3,5,16
4,6,29
5,7,26
6,8,17
7,9,12
8,10,22
9,11,7
10,12,18
11,13,24
12,14,2
13,15,13
14,16,20
15,17,27
16,18,19
17,19,8
18,20,5
19,21,4
20,22,21
21,23,10
22,24,23
23,25,6
24,26,25
