,label,centroid-0,centroid-1,newLabel
0,1,529.8518518518518,12.74074074074074,1
1,2,560.8753541076487,13.31728045325779,2
2,3,659.6192771084337,170.94939759036146,3
3,4,661.2490706319703,16.159851301115243,4
4,5,679.9628647214854,24.177718832891248,5
5,6,698.3215859030837,9.795154185022026,6
6,7,746.2490066225165,118.58278145695364,7
7,8,749.675615212528,90.27740492170022,9
8,9,748.3701799485862,273.4421593830334,8
9,10,766.0291715285881,33.21120186697783,10
10,11,766.3258706467661,291.8606965174129,11
11,12,785.5816513761467,152.37981651376145,12
12,13,787.237037037037,99.91851851851852,13
13,14,801.253493013972,312.84031936127747,14
14,15,823.3755102040816,336.73061224489794,15
15,16,826.0567951318459,247.6267748478702,16
16,17,828.9667487684729,203.2807881773399,17
17,18,839.6970509383378,133.94101876675603,18
18,19,842.759368836292,89.51676528599606,19
19,20,852.5882352941177,106.50490196078431,20
20,21,857.539408866995,74.4064039408867,21
21,22,863.8017789072427,149.67471410419313,22
22,23,868.6979591836734,34.09795918367347,23
23,24,870.7789115646259,116.94897959183673,24
24,25,876.7830374753452,8.609467455621301,25
25,26,887.9855967078189,164.4814814814815,26
26,27,915.0336448598131,18.50467289719626,27
27,28,947.1140845070422,278.04788732394366,28
28,29,962.5791433891992,267.76908752327745,29
29,30,976.2424242424242,299.3729603729604,30
30,31,1010.8218029350105,290.42767295597486,31
