,label,centroid-0,centroid-1,newLabel
0,1,9.532008830022075,989.5187637969095,1
1,2,11.795427196149218,152.8808664259928,2
2,3,13.693037974683545,404.57911392405066,3
3,4,47.434599156118146,1002.1983122362869,6
4,5,46.984042553191486,356.38652482269504,4
5,6,47.46055437100213,527.179104477612,5
6,7,57.70164609053498,148.40740740740742,7
7,8,66.79127134724858,535.73055028463,8
8,9,72.20603537981269,174.57336108220605,9
9,10,75.44639376218323,1007.4619883040936,10
10,11,89.48837209302326,988.7093023255813,11
11,12,95.24698795180723,161.38253012048193,12
12,13,97.20071684587813,322.7455197132617,13
13,14,105.31392931392931,591.1580041580041,14
14,15,117.4574074074074,354.27962962962965,15
15,16,132.5773672055427,577.6327944572748,17
16,17,131.3548387096774,980.5268817204301,16
17,18,154.85150812064964,972.6450116009281,18
18,19,160.69548133595285,548.1709233791748,19
19,20,161.093567251462,572.3450292397661,20
20,21,170.68064952638701,708.1041948579161,21
21,22,171.87333333333333,905.7,22
22,23,176.08091286307055,541.695020746888,24
23,24,175.47169811320754,988.6320754716982,23
24,25,176.77900552486187,596.4309392265193,25
25,26,178.32642487046633,568.419689119171,26
26,27,186.5338775510204,1007.6489795918367,27
27,28,189.30276564774383,895.0218340611353,28
28,29,193.54804270462634,584.9003558718862,29
29,30,206.76363636363635,356.0109090909091,30
30,31,217.55689655172415,366.92241379310343,31
31,32,238.37945492662473,381.7672955974843,32
32,33,252.73972602739727,94.39269406392694,33
33,34,255.1056511056511,388.2972972972973,34
34,35,261.4954128440367,705.3119266055046,35
35,36,262.6261682242991,681.1345794392523,36
36,37,270.002380952381,96.8,37
37,38,278.42326139088726,403.01079136690646,38
38,39,286.6137931034483,578.063448275862,39
39,40,299.892,788.832,40
40,41,304.6344725111441,1012.0312035661218,41
41,42,308.8915318744053,527.1474785918173,42
42,43,314.4523522316043,317.93486127864895,43
43,44,318.967365967366,790.3170163170163,44
44,45,323.8046594982079,427.30824372759855,45
45,46,333.815668202765,625.4009216589861,46
46,47,341.72137060414786,917.3823264201984,48
47,48,341.27806563039724,584.1761658031088,47
48,49,347.38535031847135,619.9968152866242,51
49,50,343.5431034482759,341.5215517241379,49
50,51,349.007072135785,377.2857142857143,52
51,52,346.9636627906977,320.50581395348837,50
52,53,354.66622162883846,1009.6141522029372,53
53,54,356.9309309309309,502.15315315315314,54
54,55,361.3972257250946,560.9306431273644,56
55,56,361.635477582846,335.48148148148147,55
56,57,365.9302752293578,588.5229357798165,57
57,58,369.3203125,379.703125,58
58,59,369.18779342723,965.244131455399,59
59,60,373.5344036697248,985.559633027523,60
60,61,379.1630648330059,372.11591355599217,61
61,62,380.02037037037036,455.60555555555555,62
62,63,383.5907590759076,267.55115511551156,63
63,64,384.0891719745223,500.7685774946921,64
64,65,385.99334442595676,609.4475873544093,65
65,66,389.95106649937264,633.948557089084,66
66,67,393.21857923497265,3.7650273224043715,67
67,68,394.88449848024317,344.6003039513678,68
68,69,399.03800786369595,470.73263433813895,69
69,70,409.30945558739256,965.6561604584527,70
70,71,412.433506044905,505.53367875647666,71
71,72,413.65773447015835,31.317904993909867,72
72,73,416.8971193415638,4.596707818930041,73
73,74,434.364406779661,25.796610169491526,74
74,75,438.78341584158414,602.5705445544554,75
75,76,453.5595744680851,9.961702127659574,76
76,77,454.5641791044776,361.8776119402985,77
77,78,465.2071197411003,374.9514563106796,78
78,79,477.5238095238095,27.551020408163264,79
79,80,480.33474576271186,429.0741525423729,80
80,81,491.8488805970149,10.800373134328359,81
81,82,492.33988764044943,949.806179775281,82
82,83,492.0950080515298,1002.2415458937198,83
83,84,495.9773755656109,456.36199095022624,84
84,85,497.2344428364689,972.3169319826338,85
85,86,499.51807228915663,379.49246987951807,86
86,87,514.6636713735559,1008.6906290115533,87
87,88,516.2706552706553,861.355175688509,88
88,89,534.0725075528701,473.44108761329306,89
89,90,536.268691588785,418.5724299065421,90
90,91,536.4573947110675,566.8628795298727,91
91,92,538.3295454545455,965.3082386363636,92
92,93,551.1928251121076,659.1053811659193,93
93,94,556.9957805907173,461.704641350211,94
94,95,557.7391304347826,444.0217391304348,95
95,96,560.456,424.70933333333335,96
96,97,572.6882129277567,648.2015209125475,97
97,98,577.8487394957983,590.2773109243698,98
98,99,581.0,1019.827067669173,99
99,100,594.7413793103449,972.7931034482758,100
100,101,599.243137254902,1007.7529411764706,101
101,102,604.3658536585366,987.093808630394,102
102,103,616.7978723404256,1009.4212765957446,103
103,104,626.8858858858858,336.54354354354354,104
104,105,655.2984293193717,531.1239092495637,105
105,106,657.2679900744417,448.48138957816377,106
106,107,666.815331010453,433.26655052264806,107
107,108,672.6517241379311,140.54022988505747,108
108,109,691.8878143133462,62.10444874274661,109
109,110,752.1266375545852,102.93886462882097,110
110,111,753.6262068965517,881.1103448275862,111
111,112,760.0476900149031,673.4873323397914,112
112,113,762.9037520391518,202.78303425774877,113
113,114,763.7,776.8987341772151,115
114,115,763.1151832460733,93.7434554973822,114
115,116,768.5020576131687,104.00411522633745,116
116,117,777.517808219178,887.7095890410959,117
117,118,779.7283950617284,158.22927689594357,118
118,119,790.0785123966942,117.5495867768595,119
119,120,791.1181102362204,585.2992125984252,120
120,121,794.0344827586207,214.26068965517243,121
121,122,799.6501079913606,97.57451403887688,122
122,123,803.6505823627288,285.36439267886857,123
123,124,809.3766233766233,181.7775974025974,125
124,125,807.7715517241379,605.5301724137931,124
125,126,822.5733558178753,266.9696458684654,126
126,127,828.6646403242148,947.0111448834853,127
127,128,829.4935897435897,27.19102564102564,128
128,129,829.433962264151,163.737106918239,129
129,130,829.8648255813954,919.4811046511628,130
130,131,831.2080536912752,606.7768456375838,132
131,132,830.7051851851852,124.88444444444444,131
132,133,846.6347687400319,196.00637958532695,133
133,134,855.3267543859649,172.44736842105263,134
134,135,865.9760191846523,208.50359712230215,135
135,136,872.640873015873,187.2420634920635,136
136,137,877.730946882217,761.35103926097,137
137,138,878.1754385964912,986.0813397129186,138
138,139,880.5534591194969,95.23899371069183,139
139,140,886.3131578947368,64.07368421052631,140
140,141,889.7463768115942,148.0096618357488,141
141,142,893.3601147776184,23.571018651362984,142
142,143,894.0250855188142,294.00456100342075,143
143,144,896.2224231464738,981.2622061482821,144
144,145,897.3889695210449,901.8214804063861,145
145,146,901.1995841995843,129.95841995841997,146
146,147,905.9522727272728,162.98181818181817,147
147,148,907.3930921052631,97.53947368421052,148
148,149,908.3399122807018,402.5438596491228,149
149,150,911.7198275862069,998.7306034482758,150
150,151,918.3379310344827,942.7195402298851,151
151,152,924.3427495291902,357.94161958568736,152
152,153,925.9963167587478,978.8158379373849,153
153,154,931.898969072165,178.21855670103093,154
154,155,936.7465857359635,1012.9453717754172,155
155,156,942.4891891891892,993.6243243243243,157
156,157,942.5416666666666,941.3125,156
157,158,952.0029027576197,369.8171262699565,158
158,159,984.5723905723905,793.3299663299663,159
159,160,1009.4806034482758,347.17456896551727,160
160,161,1012.7943925233645,328.4485981308411,161
